data,produto,preco
2026-03-11 14:53:18,Smart Tv U8100f Crystal Uhd 4k 2025 65 Preto Samsung Bivolt,3989.23
2026-03-11 15:54:07,Smart TV Samsung 65 QLED (Simulado),3917.28
2026-03-11 15:58:28,Smart TV Samsung 65 QLED (Simulado),3933.53
2026-03-11 19:00:23,Smart TV Samsung 65 QLED (Simulado),3505.32
2026-03-11 16:27:48,Smart TV Samsung 65 QLED (Simulado),3900.32
2026-03-11 16:35:04,Smart TV Samsung 65 QLED (Simulado),3908.2
2026-03-11 21:12:37,Apple iPhone 15 (512 GB) - Preto - Distribuidor Autorizado,5129.1
2026-03-11 21:13:45,Apple iPhone 15 (512 GB) - Preto - Distribuidor Autorizado,5129.1
2026-03-11 21:34:41,Apple iPhone 15 128 GB Cor rosa - Distribuidor Autorizado,7209.44,https://www.mercadolivre.com.br/apple-iphone-15-128-gb-cor-rosa-distribuidor-autorizado/p/MLB1027172678#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=4e369b39-79e1-4579-9702-53479035cb5c&wid=MLB4410983832&sid=search
2026-03-11 21:35:28,Apple iPhone 15 128 GB Cor rosa - Distribuidor Autorizado,7209.44,https://www.mercadolivre.com.br/apple-iphone-15-128-gb-cor-rosa-distribuidor-autorizado/p/MLB1027172678#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=9d427bde-d947-4207-8c6d-5869e364bb87&wid=MLB4410983832&sid=search
2026-03-11 21:53:58,Fone De Ouvido Headphone Bth Tune 520bt Jbl Original Full,369.9,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=hVw7SBFLo7ttwSSSO36qriqcsEH8VGj8nUxzaO8kzcX9M9jmLK1hfsLGi5mODDsNsd%2BiMym0C01SJsnfagcXOdq%2FRXSvzreS4Z964qAHuOvOxWzB6bMMt%2B7XtZKHdnBuUVLQDRvM%2BS%2FJQrZzk4tyBN3SSMRgrzSCow2bMIEt81tqPkzQ1DPgF2gLDjuMZTNeJrIIwVKE37KY72K5r3yoPQIMndHw5f7CF%2BaPHWrFU%2F03Wv%2BTXpndrPCf9qd5pLEIwlhp2Xi3uf2%2BSAWKN8BRoy9Ob8WXeAAvc8it5p0S1PKRSJuwfbANbfIyRNmLEZMtOj2B9w0sHcK5GyCjqHNVNvolyjckSdYZ09qTGWLkeW7S2dEEp67sRyJtjk%2BZi6KXXyjG8ttU3X7dfccVL96W7RCaJYOywOTC2ZcrskcO29zofy2yzGreeEfZeJdTTZ3V6go1Ex%2FVZK7ASTOK0aOtZ46t4lgA3YyxJsIDzYpsDdlJOb46igA9nM5LXRaiUsST5LlmG4sQY4fdg21IjMOVMZojDTRWXXRKEvBRMQxaOJFC37KzqO2diKz3zjWRyg%2BGYcf1PiT1a%2FNNbzBVyD7BbuoA2qiqYjUtZuCv1BVUE2TBvsvxVbAC2%2B3AlygMiAMJ%2FDaDT9T9ziTS0wy89zTJuHaXoxR4vtlpf3qpAgv7BJmUWCERhb5VZHGyuvwmWYqc4PHkNCZF3NYZ5i62AIokkfzsiDvX5d9OLHJ58duwwI57ruzuZBx4k%2FBeibYHIRE2YgQ1QsjAqzUwS7emQvnDqMQYADITB30M%2BRbkJ9y0k15hkj6t2NxUxfdH9rDa8MJoaEFlJPt8kKfMhsggbWSRcnQIu74Jz4aj%2BbfYoJbrgxB7jn%2FPpudmWRs%3D&searchVariation=183766904001#polycard_client=search-desktop&is_advertising=true&searchVariation=183766904001&search_layout=grid&position=1&type=pad&tracking_id=e0def8a6-234a-4a79-aac4-e79dc2be8ee5
